[ablation] overrides: pi0=None alpha=Some(0.01) beta=Some(0.99) kl_min=None nu_ℓ=None nu_prior=None
=== Timing Tool Benchmark Suite ===

Configuration:
  Preset: medium
  Samples per class: 10000
  Datasets per point: 60
  Effect multipliers: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
  Effect patterns: ["shift", "tail"]
  Noise models: ["iid", "ar1-0.3", "ar1-0.6", "ar1-0.8"]
  Mode: synthetic
  Checkpoint: RESUME (loading existing results)
  Tools: ["tacet"]
  Total points: 48
  Total datasets: 2880
  Total tool runs: 2880
  Batched: 6 batches of 500 datasets (~160MB peak memory)


Completed in 262.4s

Raw results already written to: /root/bench-results/ablation-v2/alpha_tight/benchmark_results.csv
Wrote summary to: /root/bench-results/ablation-v2/alpha_tight/benchmark_summary.csv
Wrote report to: /root/bench-results/ablation-v2/alpha_tight/benchmark_report.md

# Benchmark Results (medium)

## Configuration

- **Preset**: medium
- **Samples per class**: 10000
- **Datasets per point**: 60
- **Effect multipliers**: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
- **Total execution time**: 262.4s

## False Positive Rate (effect = 0)

| Tool | iid | ar1-0.3 | ar1-0.6 | ar1-0.8 |
|------|--------|--------|--------|--------|
| tacet (θ=0.4ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |
| tacet (θ=100ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |

## Power (Detection Rate)

| Tool | 0.2σ | 1σ | 2σ | 4σ | 20σ |
| shift | 1σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1242 |
| shift | 1σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1243 |
| shift | 1σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1250 |
| shift | 1σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1254 |
| shift | 1σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1235 |
| shift | 1σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1229 |
| shift | 1σ | iid | 100.0% | [94.0%, 100.0%] | 1063 |
| shift | 1σ | iid | 0.0% | [0.0%, 6.0%] | 1052 |
| shift | 2σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1247 |
| shift | 2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1250 |
| shift | 2σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1233 |
| shift | 2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1236 |
| shift | 2σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1241 |
| shift | 2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1230 |
| shift | 2σ | iid | 100.0% | [94.0%, 100.0%] | 1074 |
| shift | 2σ | iid | 0.0% | [0.0%, 6.0%] | 1065 |
| shift | 4σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1259 |
| shift | 4σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1250 |
| shift | 4σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1268 |
| shift | 4σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1259 |
| shift | 4σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1240 |
| shift | 4σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1239 |
| shift | 4σ | iid | 100.0% | [94.0%, 100.0%] | 1077 |
| shift | 4σ | iid | 0.0% | [0.0%, 6.0%] | 1081 |
| shift | 20σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1354 |
| shift | 20σ | ar1-0.3 | 6.7% | [2.6%, 15.9%] | 1346 |
| shift | 20σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1340 |
| shift | 20σ | ar1-0.6 | 1.7% | [0.3%, 8.9%] | 1327 |
| shift | 20σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1339 |
| shift | 20σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1341 |
| shift | 20σ | iid | 100.0% | [94.0%, 100.0%] | 1127 |
| shift | 20σ | iid | 0.0% | [0.0%, 6.0%] | 1131 |
| tail | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1228 |
| tail | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1224 |
| tail | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1212 |
| tail | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1221 |
| tail | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1222 |
| tail | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1219 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1065 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1062 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1065 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1062 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1065 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1062 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1065 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1062 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1065 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1062 |
| tail | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1231 |
| tail | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1230 |
| tail | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1214 |
| tail | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1202 |
| tail | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1210 |
| tail | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1222 |
| tail | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1060 |
| tail | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1047 |
| tail | 1σ | ar1-0.3 | 81.7% | [70.1%, 89.4%] | 1240 |
| tail | 1σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1233 |
| tail | 1σ | ar1-0.6 | 51.7% | [39.3%, 63.8%] | 1232 |
| tail | 1σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1236 |
| tail | 1σ | ar1-0.8 | 8.3% | [3.6%, 18.1%] | 1231 |
| tail | 1σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1211 |
| tail | 1σ | iid | 100.0% | [94.0%, 100.0%] | 1076 |
| tail | 1σ | iid | 0.0% | [0.0%, 6.0%] | 1082 |
| tail | 2σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1260 |
| tail | 2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1259 |
| tail | 2σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1252 |
| tail | 2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1252 |
| tail | 2σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1243 |
| tail | 2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1245 |
| tail | 2σ | iid | 100.0% | [94.0%, 100.0%] | 1083 |
| tail | 2σ | iid | 0.0% | [0.0%, 6.0%] | 1084 |
| tail | 4σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1268 |
| tail | 4σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1274 |
| tail | 4σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1245 |
| tail | 4σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1238 |
| tail | 4σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1239 |
| tail | 4σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1251 |
| tail | 4σ | iid | 100.0% | [94.0%, 100.0%] | 1071 |
| tail | 4σ | iid | 0.0% | [0.0%, 6.0%] | 1070 |
| tail | 20σ | ar1-0.3 | 5.0% | [1.7%, 13.7%] | 1266 |
| tail | 20σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1266 |
| tail | 20σ | ar1-0.6 | 48.3% | [36.2%, 60.7%] | 1263 |
| tail | 20σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1251 |
| tail | 20σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1258 |
| tail | 20σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1235 |
| tail | 20σ | iid | 0.0% | [0.0%, 6.0%] | 1081 |
| tail | 20σ | iid | 0.0% | [0.0%, 6.0%] | 1083 |


