[ablation] overrides: pi0=Some(0.85) alpha=None beta=None kl_min=None nu_ℓ=None nu_prior=None
=== Timing Tool Benchmark Suite ===

Configuration:
  Preset: medium
  Samples per class: 10000
  Datasets per point: 60
  Effect multipliers: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
  Effect patterns: ["shift", "tail"]
  Noise models: ["iid", "ar1-0.3", "ar1-0.6", "ar1-0.8"]
  Mode: synthetic
  Checkpoint: RESUME (loading existing results)
  Tools: ["tacet"]
  Total points: 48
  Total datasets: 2880
  Total tool runs: 2880
  Batched: 6 batches of 500 datasets (~160MB peak memory)


Completed in 260.0s

Raw results already written to: /root/bench-results/ablation-v2/pi0_extreme/benchmark_results.csv
Wrote summary to: /root/bench-results/ablation-v2/pi0_extreme/benchmark_summary.csv
Wrote report to: /root/bench-results/ablation-v2/pi0_extreme/benchmark_report.md

# Benchmark Results (medium)

## Configuration

- **Preset**: medium
- **Samples per class**: 10000
- **Datasets per point**: 60
- **Effect multipliers**: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
- **Total execution time**: 260.0s

## False Positive Rate (effect = 0)

| Tool | iid | ar1-0.3 | ar1-0.6 | ar1-0.8 |
|------|--------|--------|--------|--------|
| tacet (θ=0.4ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 1.7% ± 4.3% |
| tacet (θ=100ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |

## Power (Detection Rate)

| Tool | 0.2σ | 1σ | 2σ | 4σ | 20σ |
| shift | 1σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1220 |
| shift | 1σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1233 |
| shift | 1σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1233 |
| shift | 1σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1234 |
| shift | 1σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1227 |
| shift | 1σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1212 |
| shift | 1σ | iid | 100.0% | [94.0%, 100.0%] | 1066 |
| shift | 1σ | iid | 0.0% | [0.0%, 6.0%] | 1064 |
| shift | 2σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1245 |
| shift | 2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1232 |
| shift | 2σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1236 |
| shift | 2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1241 |
| shift | 2σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1232 |
| shift | 2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1232 |
| shift | 2σ | iid | 100.0% | [94.0%, 100.0%] | 1066 |
| shift | 2σ | iid | 0.0% | [0.0%, 6.0%] | 1060 |
| shift | 4σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1244 |
| shift | 4σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1242 |
| shift | 4σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1243 |
| shift | 4σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1251 |
| shift | 4σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1231 |
| shift | 4σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1234 |
| shift | 4σ | iid | 100.0% | [94.0%, 100.0%] | 1078 |
| shift | 4σ | iid | 0.0% | [0.0%, 6.0%] | 1077 |
| shift | 20σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1341 |
| shift | 20σ | ar1-0.3 | 25.0% | [15.8%, 37.2%] | 1352 |
| shift | 20σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1346 |
| shift | 20σ | ar1-0.6 | 16.7% | [9.3%, 28.0%] | 1338 |
| shift | 20σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1342 |
| shift | 20σ | ar1-0.8 | 8.3% | [3.6%, 18.1%] | 1323 |
| shift | 20σ | iid | 100.0% | [94.0%, 100.0%] | 1133 |
| shift | 20σ | iid | 0.0% | [0.0%, 6.0%] | 1134 |
| tail | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1221 |
| tail | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1208 |
| tail | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1213 |
| tail | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1214 |
| tail | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1223 |
| tail | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1217 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| tail | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1231 |
| tail | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1230 |
| tail | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1221 |
| tail | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1222 |
| tail | 0.2σ | ar1-0.8 | 1.7% | [0.3%, 8.9%] | 1215 |
| tail | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1220 |
| tail | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1054 |
| tail | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1049 |
| tail | 1σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1241 |
| tail | 1σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1226 |
| tail | 1σ | ar1-0.6 | 98.3% | [91.1%, 99.7%] | 1235 |
| tail | 1σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1221 |
| tail | 1σ | ar1-0.8 | 85.0% | [73.9%, 91.9%] | 1234 |
| tail | 1σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1232 |
| tail | 1σ | iid | 100.0% | [94.0%, 100.0%] | 1084 |
| tail | 1σ | iid | 0.0% | [0.0%, 6.0%] | 1083 |
| tail | 2σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1253 |
| tail | 2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1258 |
| tail | 2σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1236 |
| tail | 2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1248 |
| tail | 2σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1243 |
| tail | 2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1249 |
| tail | 2σ | iid | 100.0% | [94.0%, 100.0%] | 1085 |
| tail | 2σ | iid | 0.0% | [0.0%, 6.0%] | 1093 |
| tail | 4σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1258 |
| tail | 4σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1252 |
| tail | 4σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1250 |
| tail | 4σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1245 |
| tail | 4σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1250 |
| tail | 4σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1236 |
| tail | 4σ | iid | 100.0% | [94.0%, 100.0%] | 1077 |
| tail | 4σ | iid | 0.0% | [0.0%, 6.0%] | 1079 |
| tail | 20σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1251 |
| tail | 20σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1270 |
| tail | 20σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1262 |
| tail | 20σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1263 |
| tail | 20σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1249 |
| tail | 20σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1251 |
| tail | 20σ | iid | 100.0% | [94.0%, 100.0%] | 1087 |
| tail | 20σ | iid | 0.0% | [0.0%, 6.0%] | 1079 |


