[setup] Using binary: /root/tacet/target/release/benchmark
[setup] Output root:  /root/bench-results/ablation-v3

==========================================
=== Config: baseline
=== Env:    <library defaults>
=== Output: /root/bench-results/ablation-v3/baseline
==========================================
=== Timing Tool Benchmark Suite ===

Configuration:
  Preset: medium
  Samples per class: 10000
  Datasets per point: 120
  Effect multipliers: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
  Effect patterns: ["shift", "tail"]
  Noise models: ["iid", "ar1-0.3", "ar1-0.6", "ar1-0.8"]
  Mode: synthetic
  Checkpoint: RESUME (loading existing results)
  Tools: ["tacet"]
  Total points: 48
  Total datasets: 5760
  Total tool runs: 5760
  Batched: 12 batches of 500 datasets (~160MB peak memory)

  Resuming: 5760 results loaded from checkpoint

Completed in 259.3s

Raw results already written to: /root/bench-results/ablation-v3/baseline/benchmark_results.csv
Wrote summary to: /root/bench-results/ablation-v3/baseline/benchmark_summary.csv
Wrote report to: /root/bench-results/ablation-v3/baseline/benchmark_report.md

# Benchmark Results (medium)

## Configuration

- **Preset**: medium
- **Samples per class**: 10000
- **Datasets per point**: 120
- **Effect multipliers**: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
- **Total execution time**: 259.3s

## False Positive Rate (effect = 0)

| Tool | iid | ar1-0.3 | ar1-0.6 | ar1-0.8 |
|------|--------|--------|--------|--------|
| tacet (θ=0.4ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |
| tacet (θ=100ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |

## Power (Detection Rate)

| Tool | 0.2σ | 1σ | 2σ | 4σ | 20σ |
| shift | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1038 |
| shift | 1σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1212 |
| shift | 1σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1222 |
| shift | 1σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1214 |
| shift | 1σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1209 |
| shift | 1σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1218 |
| shift | 1σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1218 |
| shift | 1σ | iid | 100.0% | [94.0%, 100.0%] | 1044 |
| shift | 1σ | iid | 0.0% | [0.0%, 6.0%] | 1041 |
| shift | 2σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1229 |
| shift | 2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1228 |
| shift | 2σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1209 |
| shift | 2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1226 |
| shift | 2σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1220 |
| shift | 2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1220 |
| shift | 2σ | iid | 100.0% | [94.0%, 100.0%] | 1044 |
| shift | 2σ | iid | 0.0% | [0.0%, 6.0%] | 1043 |
| shift | 4σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1246 |
| shift | 4σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1245 |
| shift | 4σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1239 |
| shift | 4σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1233 |
| shift | 4σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1244 |
| shift | 4σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1240 |
| shift | 4σ | iid | 100.0% | [94.0%, 100.0%] | 1055 |
| shift | 4σ | iid | 0.0% | [0.0%, 6.0%] | 1067 |
| shift | 20σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1339 |
| shift | 20σ | ar1-0.3 | 41.7% | [30.1%, 54.3%] | 1325 |
| shift | 20σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1333 |
| shift | 20σ | ar1-0.6 | 28.3% | [18.5%, 40.8%] | 1333 |
| shift | 20σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1318 |
| shift | 20σ | ar1-0.8 | 16.7% | [9.3%, 28.0%] | 1328 |
| shift | 20σ | iid | 100.0% | [94.0%, 100.0%] | 1121 |
| shift | 20σ | iid | 1.7% | [0.3%, 8.9%] | 1116 |
| tail | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1203 |
| tail | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1217 |
| tail | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1212 |
| tail | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1222 |
| tail | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1215 |
| tail | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1204 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1048 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1048 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1048 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1048 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1048 |
| tail | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1200 |
| tail | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1216 |
| tail | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1210 |
| tail | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1200 |
| tail | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1215 |
| tail | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1208 |
| tail | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1051 |
| tail | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1051 |
| tail | 1σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1233 |
| tail | 1σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1228 |
| tail | 1σ | ar1-0.6 | 88.3% | [77.8%, 94.2%] | 1221 |
| tail | 1σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1224 |
| tail | 1σ | ar1-0.8 | 65.0% | [52.4%, 75.8%] | 1214 |
| tail | 1σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1226 |
| tail | 1σ | iid | 100.0% | [94.0%, 100.0%] | 1076 |
| tail | 1σ | iid | 0.0% | [0.0%, 6.0%] | 1079 |
| tail | 2σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1255 |
| tail | 2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1256 |
| tail | 2σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1238 |
| tail | 2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1239 |
| tail | 2σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1251 |
| tail | 2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1250 |
| tail | 2σ | iid | 100.0% | [94.0%, 100.0%] | 1082 |
| tail | 2σ | iid | 0.0% | [0.0%, 6.0%] | 1075 |
| tail | 4σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1263 |
| tail | 4σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1263 |
| tail | 4σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1247 |
| tail | 4σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1240 |
| tail | 4σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1225 |
| tail | 4σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1234 |
| tail | 4σ | iid | 100.0% | [94.0%, 100.0%] | 1088 |
| tail | 4σ | iid | 0.0% | [0.0%, 6.0%] | 1084 |
| tail | 20σ | ar1-0.3 | 8.3% | [3.6%, 18.1%] | 1266 |
| tail | 20σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1256 |
| tail | 20σ | ar1-0.6 | 71.7% | [59.2%, 81.5%] | 1261 |
| tail | 20σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1252 |
| tail | 20σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1245 |
| tail | 20σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1233 |
| tail | 20σ | iid | 6.7% | [2.6%, 15.9%] | 1085 |
| tail | 20σ | iid | 0.0% | [0.0%, 6.0%] | 1085 |


[baseline] completed in 259s
[baseline] rows=11840 outcomes:    3883 fail    1876 inconclusive    6081 pass 

==========================================
=== Config: pi0_low
=== Env:    TACET_ABLATION_PI0=0.50 
=== Output: /root/bench-results/ablation-v3/pi0_low
==========================================
[ablation] overrides: pi0=Some(0.5) alpha=None beta=None kl_min=None nu_ℓ=None nu_prior=None
=== Timing Tool Benchmark Suite ===

Configuration:
  Preset: medium
  Samples per class: 10000
  Datasets per point: 120
  Effect multipliers: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
  Effect patterns: ["shift", "tail"]
  Noise models: ["iid", "ar1-0.3", "ar1-0.6", "ar1-0.8"]
  Mode: synthetic
  Checkpoint: RESUME (loading existing results)
  Tools: ["tacet"]
  Total points: 48
  Total datasets: 5760
  Total tool runs: 5760
  Batched: 12 batches of 500 datasets (~160MB peak memory)

  Resuming: 5760 results loaded from checkpoint

Completed in 260.2s

Raw results already written to: /root/bench-results/ablation-v3/pi0_low/benchmark_results.csv
Wrote summary to: /root/bench-results/ablation-v3/pi0_low/benchmark_summary.csv
Wrote report to: /root/bench-results/ablation-v3/pi0_low/benchmark_report.md

# Benchmark Results (medium)

## Configuration

- **Preset**: medium
- **Samples per class**: 10000
- **Datasets per point**: 120
- **Effect multipliers**: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
- **Total execution time**: 260.2s

## False Positive Rate (effect = 0)

| Tool | iid | ar1-0.3 | ar1-0.6 | ar1-0.8 |
|------|--------|--------|--------|--------|
| tacet (θ=0.4ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |
| tacet (θ=100ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |

## Power (Detection Rate)

| Tool | 0.2σ | 1σ | 2σ | 4σ | 20σ |
|------|------|------|------|------|------|
| tacet (θ=0.4ns) | 100% | 100% | 100% | 100% | 100% |
| tacet (θ=100ns) | 0% | 0% | 0% | 0% | 2% |

## Detailed Results by Tool

### tacet

| Pattern | Effect | Noise | Rate | 95% CI | Time (ms) |
|---------|--------|-------|------|--------|----------|
| shift | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1217 |
| shift | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1217 |
| shift | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1199 |
| shift | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1189 |
| shift | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1210 |
| shift | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1214 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1047 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1047 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1047 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1047 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1047 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1042 |
| shift | 0.2σ | ar1-0.3 | 65.0% | [52.4%, 75.8%] | 1219 |
| shift | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1218 |
| shift | 0.2σ | ar1-0.6 | 25.0% | [15.8%, 37.2%] | 1223 |
| shift | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1219 |
| shift | 0.2σ | ar1-0.8 | 5.0% | [1.7%, 13.7%] | 1202 |
| shift | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1198 |
| shift | 0.2σ | iid | 100.0% | [94.0%, 100.0%] | 1034 |
| shift | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1027 |
| shift | 1σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1222 |
| shift | 1σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1221 |
| shift | 1σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1221 |
| shift | 1σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1222 |
| shift | 1σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1226 |
| shift | 1σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1219 |
| shift | 1σ | iid | 100.0% | [94.0%, 100.0%] | 1044 |
| shift | 1σ | iid | 0.0% | [0.0%, 6.0%] | 1043 |
| shift | 2σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1224 |
| shift | 2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1230 |
| shift | 2σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1210 |
| shift | 2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1206 |
| shift | 2σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1225 |
| shift | 2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1225 |
| shift | 2σ | iid | 100.0% | [94.0%, 100.0%] | 1047 |
| shift | 2σ | iid | 0.0% | [0.0%, 6.0%] | 1038 |
| shift | 4σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1223 |
| shift | 4σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1234 |
| shift | 4σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1246 |
| shift | 4σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1245 |
| shift | 4σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1215 |
| shift | 4σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1224 |
| shift | 4σ | iid | 100.0% | [94.0%, 100.0%] | 1067 |
| shift | 4σ | iid | 0.0% | [0.0%, 6.0%] | 1067 |
| shift | 20σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1338 |
| shift | 20σ | ar1-0.3 | 41.7% | [30.1%, 54.3%] | 1334 |
| shift | 20σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1327 |
| shift | 20σ | ar1-0.6 | 26.7% | [17.1%, 39.0%] | 1327 |
| shift | 20σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1324 |
| shift | 20σ | ar1-0.8 | 16.7% | [9.3%, 28.0%] | 1320 |
| shift | 20σ | iid | 100.0% | [94.0%, 100.0%] | 1123 |
| shift | 20σ | iid | 1.7% | [0.3%, 8.9%] | 1127 |
| tail | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1219 |
| tail | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1215 |
| tail | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1213 |
| tail | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1202 |
| tail | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1199 |
| tail | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1201 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1036 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1044 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1036 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1044 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1036 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1044 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1036 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1044 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1036 |
| tail | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1044 |
| tail | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1215 |
| tail | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1216 |
| tail | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1217 |
| tail | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1210 |
| tail | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1214 |
| tail | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1219 |
| tail | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1048 |
| tail | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1035 |
| tail | 1σ | ar1-0.3 | 98.3% | [91.1%, 99.7%] | 1205 |
| tail | 1σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1204 |
| tail | 1σ | ar1-0.6 | 85.0% | [73.9%, 91.9%] | 1219 |
| tail | 1σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1214 |
| tail | 1σ | ar1-0.8 | 31.7% | [21.3%, 44.2%] | 1222 |
| tail | 1σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1226 |
| tail | 1σ | iid | 100.0% | [94.0%, 100.0%] | 1080 |
| tail | 1σ | iid | 0.0% | [0.0%, 6.0%] | 1078 |
| tail | 2σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1248 |
| tail | 2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1242 |
| tail | 2σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1243 |
| tail | 2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1239 |
| tail | 2σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1233 |
| tail | 2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1237 |
| tail | 2σ | iid | 100.0% | [94.0%, 100.0%] | 1062 |
| tail | 2σ | iid | 0.0% | [0.0%, 6.0%] | 1079 |
| tail | 4σ | ar1-0.3 | 100.0% | [94.0%, 100.0%] | 1258 |
| tail | 4σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1262 |
| tail | 4σ | ar1-0.6 | 100.0% | [94.0%, 100.0%] | 1237 |
| tail | 4σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1240 |
| tail | 4σ | ar1-0.8 | 100.0% | [94.0%, 100.0%] | 1239 |
| tail | 4σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1231 |
| tail | 4σ | iid | 100.0% | [94.0%, 100.0%] | 1078 |
| tail | 4σ | iid | 0.0% | [0.0%, 6.0%] | 1084 |
| tail | 20σ | ar1-0.3 | 6.7% | [2.6%, 15.9%] | 1260 |
| tail | 20σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1262 |
| tail | 20σ | ar1-0.6 | 53.3% | [40.9%, 65.4%] | 1250 |
| tail | 20σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1240 |
| tail | 20σ | ar1-0.8 | 98.3% | [91.1%, 99.7%] | 1228 |
| tail | 20σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1240 |
| tail | 20σ | iid | 0.0% | [0.0%, 6.0%] | 1079 |
| tail | 20σ | iid | 0.0% | [0.0%, 6.0%] | 1076 |


[pi0_low] completed in 261s
[pi0_low] rows=11840 outcomes:    3755 fail    1975 inconclusive    6110 pass 

==========================================
=== Config: pi0_high
=== Env:    TACET_ABLATION_PI0=0.75 
=== Output: /root/bench-results/ablation-v3/pi0_high
==========================================
[ablation] overrides: pi0=Some(0.75) alpha=None beta=None kl_min=None nu_ℓ=None nu_prior=None
=== Timing Tool Benchmark Suite ===

Configuration:
  Preset: medium
  Samples per class: 10000
  Datasets per point: 120
  Effect multipliers: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
  Effect patterns: ["shift", "tail"]
  Noise models: ["iid", "ar1-0.3", "ar1-0.6", "ar1-0.8"]
  Mode: synthetic
  Checkpoint: RESUME (loading existing results)
  Tools: ["tacet"]
  Total points: 48
  Total datasets: 5760
  Total tool runs: 5760
  Batched: 12 batches of 500 datasets (~160MB peak memory)

  Resuming: 5760 results loaded from checkpoint

Completed in 254.4s

Raw results already written to: /root/bench-results/ablation-v3/pi0_high/benchmark_results.csv
Wrote summary to: /root/bench-results/ablation-v3/pi0_high/benchmark_summary.csv
Wrote report to: /root/bench-results/ablation-v3/pi0_high/benchmark_report.md

# Benchmark Results (medium)

## Configuration

- **Preset**: medium
- **Samples per class**: 10000
- **Datasets per point**: 120
- **Effect multipliers**: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
- **Total execution time**: 254.4s

## False Positive Rate (effect = 0)

| Tool | iid | ar1-0.3 | ar1-0.6 | ar1-0.8 |
|------|--------|--------|--------|--------|
| tacet (θ=0.4ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 1.7% ± 4.3% |
| tacet (θ=100ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |

## Power (Detection Rate)

| Tool | 0.2σ | 1σ | 2σ | 4σ | 20σ |
|------|------|------|------|------|------|
| tacet (θ=0.4ns) | 100% | 100% | 100% | 100% | 100% |
| tacet (θ=100ns) | 0% | 0% | 0% | 0% | 2% |

## Detailed Results by Tool

### tacet

| Pattern | Effect | Noise | Rate | 95% CI | Time (ms) |
|---------|--------|-------|------|--------|----------|
| shift | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1218 |
| shift | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1220 |
| shift | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1209 |
| shift | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1217 |
| shift | 0σ | ar1-0.8 | 1.7% | [0.3%, 8.9%] | 1212 |
| shift | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1219 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1058 |
| shift | 0.2σ | ar1-0.3 | 80.0% | [68.2%, 88.2%] | 1218 |
